project_type,department,state,district,approved_budget,amount_claimed,amount_released,work_completion_percent,expected_completion_days,actual_days_since_start,delay_ratio,invoice_count,average_invoice_amount,largest_invoice_amount,payment_frequency_per_month,same_vendor_invoice_count,inspection_status,last_inspection_days_ago,geo_tagged_proof_submitted,proof_document_count,complaints_count,contractor_previous_projects,contractor_avg_delay_days,contractor_avg_budget_overrun,contractor_blacklist_flag,approved_work_quantity,claimed_work_quantity,verified_work_quantity,quantity_mismatch_ratio,budget_claim_ratio,fraud_score,fraud_label
Road Construction,Public Works Department,Uttar Pradesh,Prayagraj,76994791.46,55271006.54,42191172.22,72.42,146,58,0.3973,53,1042849.18,4776870.54,6.28,15,Completed,27,1,45,6,31,21.62,0.04,0,122719.57,116179.54,109988.24,0.0505,0.7179,0.0796,0
School Building,Education Department,Tamil Nadu,Salem,90932202.66,97972886.54,57833295.36,44.07,888,1303,1.4673,176,556664.13,1854993.53,4.37,30,Completed,14,1,9,73,71,162.37,0.64,1,105636.5,142700.2,75111.39,0.6398,1.0774,0.7107,1
Bridge Construction,Public Works Department,Kerala,Kollam,92974223.7,86980607.2,64719311.25,38.07,859,355,0.4133,26,3345407.97,12951726.72,5.96,1,Completed,264,1,78,8,36,27.87,0.11,0,138808.45,127127.37,134419.87,-0.0525,0.9355,0.191,0
Road Construction,Public Works Department,Gujarat,Bhavnagar,93293560.09,79670019.48,56740960.18,93.07,675,253,0.3748,33,2414243.01,9008012.0,2.53,15,Pending,279,1,76,8,99,26.97,0.19,0,59882.49,65767.92,53108.35,0.2114,0.854,0.174,0
Road Construction,Public Works Department,Gujarat,Rajkot,80545920.86,113635700.81,69290804.49,36.82,102,173,1.6961,33,3443506.09,18956346.49,6.62,84,Completed,223,0,1,20,55,172.63,0.78,1,204951.23,334380.93,125421.14,1.0196,1.4108,0.8652,1
Road Construction,Public Works Department,Karnataka,Belagavi,93125585.19,92907187.88,66363780.33,6.87,95,124,1.3053,44,2111527.0,4131658.91,6.07,55,Completed,293,1,11,14,92,167.91,0.18,1,197781.19,363555.02,128178.61,1.1901,0.9977,0.6365,1
Water Pipeline,Water Resources Department,Kerala,Kollam,23785654.27,26141361.22,20042063.61,48.95,732,713,0.974,42,622413.36,1563394.98,5.82,83,Pending,192,0,6,27,45,171.9,0.16,1,162935.0,274932.6,122309.03,0.9367,1.099,0.6565,1
Electricity Infrastructure,Energy Department,Maharashtra,Pune,7689897.48,7122795.94,6325203.06,72.93,707,185,0.2617,5,1424559.19,4539486.12,7.67,2,Completed,20,1,71,7,74,33.84,0.02,0,67211.48,64968.85,59340.42,0.0837,0.9263,0.0506,0
Road Construction,Public Works Department,Madhya Pradesh,Indore,79647548.38,77072990.76,68236843.66,60.28,1088,1085,0.9972,37,2083053.8,10383952.07,3.32,17,Completed,205,1,43,0,35,18.69,0.1,0,156747.0,169964.49,157163.59,0.0817,0.9677,0.1518,0
Hospital Development,Health Department,Karnataka,Belagavi,91540955.66,77723866.41,63316909.32,56.48,874,952,1.0892,27,2878661.72,13310249.85,1.81,5,Pending,100,0,5,9,96,25.1,0.1,0,245991.99,274125.76,230153.7,0.1788,0.8491,0.2994,0
Bridge Construction,Public Works Department,Maharashtra,Aurangabad,21088468.52,23347504.9,15300803.34,56.43,687,783,1.1397,92,253777.23,501490.4,3.18,39,Completed,151,0,6,41,45,192.31,0.69,0,231762.75,346974.27,140538.75,0.8907,1.1071,0.4796,0
Drainage System,Municipal Administration,Maharashtra,Pune,51263311.15,23173977.96,19996244.78,52.77,421,347,0.8242,31,747547.68,3107311.46,0.52,18,Completed,61,1,72,4,11,9.68,0.04,0,90673.11,89866.39,84835.78,0.0555,0.4521,0.0527,0
Road Construction,Public Works Department,Kerala,Thrissur,26993524.48,26931400.62,24587614.85,22.82,574,920,1.6028,139,193751.08,673880.9,7.43,30,Pending,195,0,7,54,11,103.5,0.33,0,12065.8,16135.04,8438.62,0.6379,0.9977,0.6995,1
Electricity Infrastructure,Energy Department,Uttar Pradesh,Agra,61577981.67,86379832.16,55608056.66,14.2,74,69,0.9324,123,702275.06,2301430.73,8.58,92,Pending,360,0,4,24,75,96.0,0.33,1,11482.49,17005.96,4063.17,1.1272,1.4028,0.8591,1
Drainage System,Municipal Administration,Telangana,Warangal,50449944.91,74300365.39,49295762.49,31.44,964,905,0.9388,95,782109.11,3368733.29,5.4,93,Pending,67,0,6,73,65,104.27,0.21,1,132086.47,228958.01,63890.06,1.2497,1.4728,0.8924,1
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Varanasi,14041062.38,10596111.42,9816423.95,23.68,383,317,0.8277,91,116440.78,254293.31,4.74,40,Pending,60,0,7,35,12,192.53,0.81,1,112378.19,205400.48,88217.67,1.0428,0.7547,0.6733,1
Road Construction,Public Works Department,Maharashtra,Nashik,17264214.63,26574383.02,22215448.42,37.22,721,642,0.8904,130,204418.33,1085563.36,0.93,107,Pending,348,0,6,45,10,85.45,0.59,1,201930.39,291009.64,98149.62,0.9551,1.5393,0.9111,1
Bridge Construction,Public Works Department,Andhra Pradesh,Guntur,18821837.03,5778891.86,5683895.33,42.33,498,406,0.8153,24,240787.16,397725.69,6.68,10,Completed,355,1,34,9,86,37.62,0.06,0,184056.59,166871.06,176243.17,-0.0509,0.307,0.033,0
Road Construction,Public Works Department,Tamil Nadu,Chennai,64016009.69,28062354.11,23690189.44,52.21,921,862,0.9359,25,1122494.16,5242320.98,1.17,17,Completed,324,1,18,1,51,21.33,0.03,0,198741.61,184632.12,170004.73,0.0736,0.4384,0.0643,0
Drainage System,Municipal Administration,Gujarat,Vadodara,76961429.55,38853288.61,27758401.79,35.75,529,377,0.7127,50,777065.77,3761754.98,1.26,9,Pending,172,1,12,2,71,36.93,0.07,0,249833.3,255491.43,247875.96,0.0305,0.5048,0.1267,0
Electricity Infrastructure,Energy Department,Rajasthan,Kota,79272272.61,94675707.63,68443211.84,33.92,540,1018,1.8852,53,1786334.11,5642355.1,3.75,12,Pending,101,0,4,26,4,115.4,0.45,1,90248.31,153544.91,34043.61,1.3241,1.1943,0.8549,1
Housing Scheme,Housing Department,Tamil Nadu,Chennai,88183521.04,105453805.42,69697934.4,29.05,534,566,1.0599,41,2572044.03,9236604.46,4.15,18,Pending,161,0,8,23,21,101.2,0.47,1,234355.23,301707.0,139586.7,0.6918,1.1958,0.7318,1
Bridge Construction,Public Works Department,Maharashtra,Nashik,71347144.89,49242964.26,48112829.88,89.63,304,360,1.1842,13,3787920.33,19335242.4,4.85,8,Completed,71,1,22,3,65,8.49,0.12,0,138845.28,153327.75,127254.84,0.1878,0.6902,0.0582,0
Electricity Infrastructure,Energy Department,Kerala,Thrissur,11415069.09,7863879.63,6758161.11,52.24,287,277,0.9652,48,163830.83,311709.02,1.31,10,Pending,216,0,2,9,79,21.97,0.1,0,132971.09,124115.17,115216.94,0.0669,0.6889,0.2344,0
Electricity Infrastructure,Energy Department,Karnataka,Hubballi,47224284.46,14258107.92,11505124.53,73.73,571,131,0.2294,5,2851621.58,13295522.35,7.37,18,Completed,328,1,22,10,65,32.38,0.15,0,247251.79,227610.17,217352.85,0.0415,0.3019,0.0243,0
Road Construction,Public Works Department,Gujarat,Surat,97156390.75,76608569.89,66034206.39,49.98,813,397,0.4883,41,1868501.7,3510539.12,1.36,16,Completed,105,0,10,1,98,30.78,0.17,1,125960.81,126604.89,127611.19,-0.008,0.7885,0.3397,0
Water Pipeline,Water Resources Department,Tamil Nadu,Madurai,69413853.94,69059622.44,50141277.5,58.16,660,546,0.8273,6,11509937.07,37700291.65,3.05,11,Completed,64,1,55,5,5,25.66,0.09,0,5696.01,6180.09,5065.34,0.1957,0.9949,0.162,0
Welfare Distribution,Social Welfare Department,Andhra Pradesh,Nellore,6916174.09,6701466.34,6636469.84,75.22,833,900,1.0804,24,279227.76,588992.06,7.18,4,Completed,200,1,46,6,16,3.99,0.17,0,76801.53,83297.83,78793.07,0.0587,0.969,0.1086,0
Electricity Infrastructure,Energy Department,Telangana,Hyderabad,55920222.11,56903210.45,46291285.51,51.12,159,127,0.7987,39,1459056.68,3997718.14,3.55,3,Completed,329,1,45,4,81,20.14,0.12,0,188863.26,187020.46,190736.89,-0.0197,1.0176,0.1683,0
Electricity Infrastructure,Energy Department,Kerala,Thrissur,19339898.42,20432541.07,16939329.52,5.5,211,183,0.8673,178,114789.56,636291.33,1.19,83,Failed,27,1,18,85,79,44.76,0.27,1,194941.17,301226.63,102653.79,1.0186,1.0565,0.9418,1
Road Construction,Public Works Department,Madhya Pradesh,Jabalpur,48287946.04,58787909.94,49855235.39,39.03,210,245,1.1667,103,570756.41,2642299.32,2.51,78,Completed,318,0,0,56,49,111.71,0.35,1,167821.13,295930.0,75243.81,1.315,1.2174,0.7729,1
Bridge Construction,Public Works Department,Karnataka,Mangaluru,20430197.19,20654323.41,18978796.97,99.53,1062,1112,1.0471,53,389704.22,1989126.53,2.2,8,Completed,325,1,66,0,65,2.93,0.11,0,32961.11,33994.19,28882.61,0.1551,1.011,0.0657,0
Housing Scheme,Housing Department,Gujarat,Bhavnagar,62338983.8,30281702.39,25305871.66,59.41,624,668,1.0705,17,1781276.61,4582410.27,3.15,5,Completed,240,1,27,9,15,17.57,0.06,0,89081.88,92716.03,82469.85,0.115,0.4858,0.0326,0
Water Pipeline,Water Resources Department,Madhya Pradesh,Bhopal,63075050.34,88658334.61,40632919.1,48.76,1008,1706,1.6925,37,2396171.21,12865712.35,8.49,72,Pending,115,1,41,52,35,54.1,0.42,0,43277.1,56086.21,16624.79,0.9118,1.4056,0.738,1
Hospital Development,Health Department,Maharashtra,Nashik,12716120.5,9070859.98,6396312.24,35.53,853,942,1.1043,14,647918.57,3542606.22,4.42,9,Completed,162,1,25,12,48,10.14,0.13,0,30651.11,34246.68,26331.45,0.2582,0.7133,0.1425,0
School Building,Education Department,Kerala,Kozhikode,23533440.13,17181920.94,12236235.82,58.38,87,73,0.8391,32,536935.03,842631.46,8.84,16,Completed,320,1,18,7,18,22.46,0.11,0,14750.43,15995.06,14507.95,0.1008,0.7301,0.0941,0
Electricity Infrastructure,Energy Department,Gujarat,Rajkot,24029977.65,11524874.62,9145530.22,67.04,650,226,0.3477,28,411602.66,2389828.8,7.77,3,Pending,173,1,64,2,53,17.5,0.03,0,109043.34,119092.48,93261.75,0.2369,0.4796,0.1739,0
School Building,Education Department,Rajasthan,Jodhpur,80549563.41,77184152.53,55658705.06,52.57,191,204,1.0681,43,1794980.29,9186660.36,5.15,16,Completed,51,1,27,5,48,1.37,0.13,0,241979.38,241443.18,203685.43,0.156,0.9582,0.206,0
Water Pipeline,Water Resources Department,Maharashtra,Mumbai,53129544.04,52025534.33,46388444.12,70.36,499,513,1.0281,44,1182398.51,4739415.35,2.43,0,Completed,200,0,9,11,17,11.14,0.05,0,223463.2,209495.95,191690.31,0.0797,0.9792,0.2335,0
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Agra,20058486.6,18401500.55,13575556.24,36.16,97,118,1.2165,75,245353.34,502122.27,1.94,39,Pending,288,0,6,34,21,186.18,0.65,1,177657.64,250575.46,136315.7,0.6431,0.9174,0.6931,1
Road Construction,Public Works Department,Kerala,Thiruvananthapuram,45985182.96,34410853.64,29956913.38,80.41,681,449,0.6593,23,1496124.07,5080154.64,1.84,10,Failed,80,1,75,10,92,21.16,0.1,0,4850.16,4695.41,4941.62,-0.0508,0.7483,0.1294,0
Welfare Distribution,Social Welfare Department,Andhra Pradesh,Guntur,45743582.25,44021944.65,37617506.4,45.28,730,483,0.6616,51,863175.39,2589560.62,8.6,3,Completed,267,1,71,9,35,15.07,0.01,0,61218.19,59712.95,59782.21,-0.0011,0.9624,0.1272,0
Water Pipeline,Water Resources Department,Telangana,Khammam,83547269.74,87635783.87,41333587.18,12.19,500,470,0.94,129,679347.16,2712894.9,4.16,82,Pending,350,1,19,89,5,167.56,0.67,1,59441.79,97108.66,37570.2,1.0016,1.0489,0.8391,1
Electricity Infrastructure,Energy Department,Andhra Pradesh,Guntur,1351991.29,309199.51,279956.18,46.96,338,236,0.6982,34,9094.1,19976.94,8.99,13,Completed,300,1,12,0,80,10.45,0.03,0,174354.93,168608.73,161032.18,0.0435,0.2287,0.0164,0
Hospital Development,Health Department,Rajasthan,Ajmer,29566203.74,10900619.99,7794159.38,71.84,771,819,1.0623,38,286858.42,1606596.13,2.69,3,Completed,56,0,5,4,73,24.58,0.18,0,247940.87,244531.78,248713.34,-0.0169,0.3687,0.1702,0
Hospital Development,Health Department,Karnataka,Mangaluru,30148362.45,30315269.45,22555809.98,49.35,615,356,0.5789,54,561393.88,2063759.01,8.77,11,Completed,164,1,73,2,22,4.83,0.1,0,210637.28,215033.01,205612.76,0.0447,1.0055,0.1893,0
Road Construction,Public Works Department,Kerala,Thiruvananthapuram,32810580.55,17119595.41,13334200.74,52.75,1011,877,0.8675,11,1556326.86,5613007.52,0.76,16,Pending,176,1,16,11,11,41.21,0.1,0,5396.48,5421.6,5146.73,0.0509,0.5218,0.1003,0
Road Construction,Public Works Department,Andhra Pradesh,Nellore,41988956.05,25099811.09,18198653.71,77.6,768,609,0.793,50,501996.22,1350763.74,2.41,14,Completed,61,1,48,1,56,44.82,0.21,0,81347.15,86318.39,84248.1,0.0255,0.5978,0.0012,0
Bridge Construction,Public Works Department,Gujarat,Rajkot,33599540.25,11406872.75,8369679.68,77.73,391,118,0.3018,32,356464.77,1097331.2,4.89,10,Completed,225,1,29,2,34,20.47,0.13,0,169618.23,183097.15,163847.31,0.1135,0.3395,0.0081,0
Water Pipeline,Water Resources Department,Maharashtra,Pune,7769905.19,8300288.09,5923922.33,36.63,1023,2005,1.9599,75,110670.51,604978.2,8.01,102,Failed,48,0,5,52,91,188.4,0.69,1,130643.59,225299.19,49591.98,1.3449,1.0683,1.0,1
Bridge Construction,Public Works Department,Telangana,Khammam,74900016.22,29328137.87,24956931.16,76.35,221,167,0.7557,30,977604.6,3731031.06,8.86,1,Pending,43,1,36,10,69,15.43,0.04,0,73630.77,76113.54,68899.95,0.098,0.3916,0.1675,0
Water Pipeline,Water Resources Department,Andhra Pradesh,Nellore,25470420.88,20099320.18,17687852.6,45.48,73,35,0.4795,33,609070.31,3604038.23,4.46,12,Completed,135,0,7,10,90,26.53,0.09,0,180067.52,189909.02,170587.61,0.1073,0.7891,0.2637,0
Drainage System,Municipal Administration,Gujarat,Ahmedabad,65269698.79,37904703.45,32717251.99,76.85,434,182,0.4194,8,4738087.93,17728988.62,6.67,6,Pending,341,1,67,7,78,32.22,0.01,0,127347.47,114753.57,125217.15,-0.0822,0.5807,0.1437,0
Drainage System,Municipal Administration,Madhya Pradesh,Bhopal,80550686.87,52864676.55,45195606.47,36.01,886,263,0.2968,5,10572935.31,27437235.79,3.07,4,Completed,223,1,20,0,11,7.56,0.11,0,235129.14,213877.78,227860.02,-0.0595,0.6563,0.0683,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Salem,42640776.74,29471508.43,22098878.89,46.16,205,83,0.4049,52,566759.78,3310126.34,6.79,7,Completed,243,0,4,10,34,11.79,0.05,0,10401.92,10732.58,9337.05,0.1342,0.6912,0.1769,0
Electricity Infrastructure,Energy Department,Kerala,Thrissur,76729600.64,70163963.01,50978288.57,60.8,822,905,1.101,17,4127291.94,20874103.68,5.09,18,Completed,232,0,7,6,7,35.3,0.13,0,187346.81,206759.67,176321.7,0.1625,0.9144,0.2531,0
Electricity Infrastructure,Energy Department,Gujarat,Surat,11950398.79,7121911.07,6160935.25,97.38,935,416,0.4449,41,173705.15,365581.97,4.91,6,Completed,141,1,78,2,53,28.48,0.05,0,60606.58,60455.14,51047.06,0.1552,0.596,0.0675,0
Hospital Development,Health Department,Uttar Pradesh,Agra,36459797.71,36702423.44,28328686.39,47.47,588,211,0.3588,32,1146950.73,2727663.73,8.01,17,Completed,3,1,24,6,11,24.95,0.16,0,33397.55,36924.24,29719.65,0.2157,1.0067,0.1764,0
Housing Scheme,Housing Department,Madhya Pradesh,Jabalpur,69158484.38,78603032.12,61081097.53,31.14,1003,1802,1.7966,149,527537.13,1718644.0,3.13,19,Failed,67,0,5,24,84,152.29,0.57,1,170656.8,226853.8,97251.38,0.7594,1.1366,0.8597,1
Housing Scheme,Housing Department,Tamil Nadu,Tiruchirappalli,22289600.4,28006974.01,24318485.83,14.52,397,794,2.0,172,162831.24,880654.35,6.8,69,Completed,113,0,4,8,40,84.57,0.24,1,158966.36,264161.38,62875.48,1.2662,1.2565,0.9087,1
Hospital Development,Health Department,Tamil Nadu,Coimbatore,30334670.63,12536107.71,11114944.24,96.03,293,151,0.5154,55,227929.23,875173.2,8.65,9,Completed,259,1,29,6,33,40.53,0.16,0,124736.72,132259.75,129637.19,0.021,0.4133,0.0054,0
Electricity Infrastructure,Energy Department,Tamil Nadu,Tiruchirappalli,1340593.94,872402.36,700500.42,59.17,946,595,0.629,46,18965.27,110285.27,8.35,13,Pending,306,1,36,5,90,28.76,0.09,0,46591.35,51165.25,43818.14,0.1577,0.6508,0.1917,0
School Building,Education Department,Uttar Pradesh,Lucknow,35159990.17,16380222.54,14789763.7,51.91,377,256,0.679,42,390005.3,898465.93,6.89,7,Completed,298,0,5,11,34,34.84,0.12,0,185737.95,174872.11,161901.02,0.0698,0.4659,0.1447,0
Electricity Infrastructure,Energy Department,Karnataka,Belagavi,11922216.04,7772770.21,7488949.49,77.62,582,687,1.1804,41,189579.76,336537.73,3.04,0,Completed,329,1,25,3,82,11.77,0.06,0,44133.12,47517.24,44099.13,0.0774,0.652,0.0334,0
Road Construction,Public Works Department,Andhra Pradesh,Vijayawada,53392479.58,32514157.27,27961013.4,37.78,337,369,1.095,13,2501089.02,6456878.18,3.14,18,Completed,206,1,57,11,32,2.93,0.11,0,14756.45,15931.68,13833.98,0.1422,0.609,0.1673,0
Electricity Infrastructure,Energy Department,Gujarat,Ahmedabad,50970805.56,24484253.25,23323536.37,86.86,521,585,1.1228,12,2040354.44,6890169.05,6.4,8,Completed,362,1,68,1,84,24.68,0.13,0,85399.29,86186.21,77680.92,0.0996,0.4804,0.0644,0
Housing Scheme,Housing Department,Tamil Nadu,Madurai,7410506.04,1694839.82,1546626.74,92.3,707,262,0.3706,44,38519.09,115549.49,5.24,9,Completed,216,1,35,0,4,19.45,0.15,0,94737.35,88506.91,90788.09,-0.0241,0.2287,0.0297,0
Water Pipeline,Water Resources Department,Uttar Pradesh,Varanasi,43873305.16,34803296.79,16596117.69,44.17,729,1006,1.38,67,519452.19,930599.65,0.73,61,Pending,70,0,0,68,24,180.74,0.49,1,66770.1,95844.12,38653.38,0.8565,0.7933,0.7442,1
Housing Scheme,Housing Department,Madhya Pradesh,Indore,15241396.29,2773495.15,2466761.07,71.87,255,68,0.2667,54,51361.02,74059.24,5.58,16,Completed,351,1,50,11,17,25.25,0.05,0,213712.39,225311.92,186053.84,0.1837,0.182,0.0488,0
Bridge Construction,Public Works Department,Tamil Nadu,Coimbatore,41420088.78,36683128.78,34732660.42,39.36,1034,1733,1.676,103,356146.88,1817999.53,6.9,49,Pending,16,1,20,54,37,106.49,0.75,0,200432.0,311345.92,128128.93,0.9141,0.8856,0.6266,1
Hospital Development,Health Department,Andhra Pradesh,Vijayawada,50064936.86,44803219.25,31099197.89,42.47,580,682,1.1759,110,407301.99,2132743.57,0.78,11,Pending,25,0,3,43,86,199.3,0.52,1,32610.11,56094.15,22564.64,1.0282,0.8949,0.7221,1
School Building,Education Department,Rajasthan,Ajmer,52447812.06,30851813.19,28253805.63,50.78,203,230,1.133,26,1186608.2,1782222.43,7.86,1,Completed,224,1,52,1,34,44.51,0.12,0,57516.55,58008.68,59353.46,-0.0234,0.5882,0.075,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Coimbatore,96076479.26,94284876.72,91986518.25,86.48,592,137,0.2314,6,15714146.12,54755300.91,6.81,18,Completed,181,1,28,11,74,8.92,0.07,0,41336.23,44747.34,35636.67,0.2204,0.9814,0.1117,0
Housing Scheme,Housing Department,Telangana,Khammam,3999043.8,3403213.89,3040724.21,60.74,983,296,0.3011,47,72408.81,206827.3,6.46,8,Completed,261,1,76,1,83,8.11,0.1,0,110011.97,116490.55,112443.3,0.0368,0.851,0.1181,0
Electricity Infrastructure,Energy Department,Telangana,Warangal,12588773.95,11987854.86,8557284.1,13.13,567,829,1.4621,169,70934.05,144663.33,1.5,101,Pending,140,0,2,9,70,56.85,0.3,1,131369.87,159285.61,48880.68,0.8404,0.9523,0.8665,1
Road Construction,Public Works Department,Andhra Pradesh,Kurnool,25569001.39,34139239.14,29551293.61,17.71,647,761,1.1762,95,359360.41,2108355.08,0.82,105,Pending,117,0,7,42,54,183.77,0.61,1,126069.57,156236.11,80309.49,0.6023,1.3352,0.8727,1
Drainage System,Municipal Administration,Karnataka,Bengaluru,80903531.49,80721457.74,76959102.29,72.94,528,132,0.25,6,13453576.29,64554763.78,4.91,13,Pending,63,1,17,7,83,22.38,0.11,0,104652.77,111610.86,90808.72,0.1988,0.9977,0.1948,0
Drainage System,Municipal Administration,Kerala,Kochi,89856562.45,101819177.01,55673884.09,11.89,509,570,1.1198,63,1616177.41,5388815.43,1.65,99,Completed,163,1,13,16,4,200.49,0.53,1,230406.17,409569.33,143218.93,1.156,1.1331,0.7011,1
Road Construction,Public Works Department,Tamil Nadu,Madurai,61013572.56,84068718.47,76325069.3,50.73,547,1083,1.9799,71,1184066.46,4565141.24,7.61,27,Completed,281,0,5,83,71,71.11,0.63,1,231850.63,326633.81,158359.15,0.7258,1.3779,0.8737,1
Electricity Infrastructure,Energy Department,Kerala,Kollam,36633282.12,18501449.15,15953513.79,57.61,73,73,1.0,55,336389.98,865037.23,1.42,4,Completed,147,1,11,10,54,5.15,0.22,0,54909.96,54960.1,56849.25,-0.0344,0.505,0.0325,0
Bridge Construction,Public Works Department,Uttar Pradesh,Varanasi,75227058.36,35575511.85,28090946.86,59.4,1015,850,0.8374,23,1546761.38,6732509.66,1.6,13,Pending,356,1,66,10,81,6.64,0.15,0,155545.63,165424.64,139865.39,0.1643,0.4729,0.1516,0
Housing Scheme,Housing Department,Andhra Pradesh,Visakhapatnam,40026840.28,20020774.77,19288295.76,60.68,970,319,0.3289,55,364014.09,1196564.21,1.56,16,Pending,228,1,39,3,47,5.55,0.07,0,71664.1,72748.9,64329.59,0.1175,0.5002,0.1189,0
Electricity Infrastructure,Energy Department,Uttar Pradesh,Varanasi,47759968.41,54879617.98,48882360.76,22.96,1043,1678,1.6088,142,386476.18,601607.65,1.27,54,Completed,28,0,2,43,83,149.7,0.57,1,209715.65,399747.63,112110.53,1.3716,1.1491,0.8203,1
Hospital Development,Health Department,Kerala,Thrissur,91910021.55,46198757.79,43101392.03,84.94,426,490,1.1502,18,2566597.65,3609646.91,1.18,4,Pending,80,1,38,7,93,10.01,0.08,0,62997.67,64066.87,64546.03,-0.0076,0.5027,0.1048,0
Road Construction,Public Works Department,Madhya Pradesh,Ujjain,76221757.56,71921945.48,63505917.79,17.21,803,1416,1.7634,37,1943836.36,10382919.82,1.05,56,Failed,299,0,4,10,19,105.1,0.74,1,243943.93,356917.41,87888.93,1.1028,0.9436,0.884,1
Housing Scheme,Housing Department,Rajasthan,Udaipur,39306825.44,33909232.7,17220760.76,18.73,432,643,1.4884,130,260840.25,491417.3,1.23,76,Pending,28,1,21,44,41,101.13,0.66,1,94511.36,117059.28,36194.26,0.8556,0.8627,0.7929,1
School Building,Education Department,Madhya Pradesh,Indore,91942793.88,109324288.91,79786203.76,9.37,975,1517,1.5559,149,733720.06,2164486.19,7.8,56,Pending,13,0,4,39,20,185.06,0.64,1,35852.26,64923.36,27738.66,1.0372,1.189,0.9539,1
Water Pipeline,Water Resources Department,Madhya Pradesh,Jabalpur,94089071.69,76909486.35,62268917.16,37.99,1025,907,0.8849,38,2023933.85,7714290.89,7.12,16,Completed,311,1,54,8,95,1.65,0.22,0,25191.15,22857.22,21828.31,0.0408,0.8174,0.1548,0
Housing Scheme,Housing Department,Telangana,Khammam,56868819.39,73977630.52,43223282.9,13.31,614,934,1.5212,96,770600.32,2721374.54,6.7,25,Pending,304,1,30,19,96,160.86,0.43,1,22740.86,31016.86,13888.05,0.7532,1.3008,0.7037,1
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Jabalpur,76688413.42,59970835.02,45613115.37,95.04,440,426,0.9682,7,8567262.15,21974098.1,5.55,7,Completed,208,1,32,0,90,22.13,0.15,0,210881.03,202547.62,185703.39,0.0799,0.782,0.0474,0
Drainage System,Municipal Administration,Maharashtra,Aurangabad,22366110.62,17537296.75,14338900.05,82.6,124,24,0.1935,55,318859.94,1406426.96,8.28,5,Completed,345,1,56,4,96,29.89,0.11,0,101084.69,105203.2,95674.72,0.0943,0.7841,0.0535,0
School Building,Education Department,Andhra Pradesh,Kurnool,72761723.25,21560847.19,19695809.88,92.22,654,360,0.5505,3,7186949.06,17286879.28,7.36,7,Completed,227,0,9,7,95,35.69,0.07,0,28175.22,28641.3,29100.53,-0.0163,0.2963,0.1042,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Chennai,78040697.94,37161642.16,32341360.37,98.37,932,1083,1.162,28,1327201.51,3592862.73,7.15,5,Completed,293,1,72,1,99,13.62,0.15,0,23897.08,25667.98,24310.07,0.0568,0.4762,0.0514,0
Road Construction,Public Works Department,Maharashtra,Nagpur,91389061.16,60252166.12,57983487.91,87.02,810,542,0.6691,21,2869150.77,15152335.42,2.15,11,Completed,63,1,76,12,74,42.55,0.09,0,246337.13,246541.92,257112.69,-0.0429,0.6593,0.0845,0
Road Construction,Public Works Department,Karnataka,Hubballi,97915024.2,58935999.12,54561350.86,73.9,936,1070,1.1432,3,19645333.04,42944109.22,7.76,9,Completed,236,0,1,7,7,6.87,0.19,0,6002.99,5882.24,5531.54,0.0584,0.6019,0.1664,0
Drainage System,Municipal Administration,Kerala,Kollam,47857715.96,26904653.62,21982381.99,38.13,62,48,0.7742,45,597881.19,2552149.85,3.67,3,Pending,304,1,47,4,36,43.92,0.01,0,25962.55,28913.61,26275.18,0.1016,0.5622,0.1714,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Tiruchirappalli,31496035.28,47135492.28,25639249.41,5.38,266,206,0.7744,156,302150.59,1627169.66,6.63,78,Pending,197,0,8,17,92,101.37,0.5,0,158133.48,209973.86,97205.61,0.7131,1.4966,0.6569,1
Hospital Development,Health Department,Karnataka,Hubballi,43025164.22,28917027.82,21602618.13,86.07,335,191,0.5701,49,590143.42,1896940.9,7.09,14,Pending,152,1,70,10,95,19.94,0.06,0,82720.62,81412.76,85168.81,-0.0454,0.6721,0.086,0
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Varanasi,3589225.61,4543429.04,2311600.79,31.54,873,1572,1.8007,55,82607.8,262042.71,7.65,23,Pending,310,0,5,77,69,87.73,0.69,1,219173.0,388012.83,117840.22,1.2327,1.2659,0.9653,1
Hospital Development,Health Department,Karnataka,Belagavi,12902642.42,10901134.94,8057661.11,68.81,570,611,1.0719,8,1362641.87,6836481.44,3.95,9,Pending,169,1,58,0,26,26.83,0.01,0,64482.46,69997.25,63569.42,0.0997,0.8449,0.1897,0
Bridge Construction,Public Works Department,Gujarat,Ahmedabad,64256577.87,22430175.23,16132898.17,38.66,308,273,0.8864,11,2039106.84,5330913.9,7.02,10,Completed,39,1,60,10,9,32.98,0.02,0,77342.44,77859.02,66389.89,0.1483,0.3491,0.0661,0
Water Pipeline,Water Resources Department,Telangana,Khammam,95630216.9,52797688.71,39430879.25,94.91,316,173,0.5475,39,1353786.89,7652414.37,7.32,3,Pending,95,1,69,3,51,12.02,0.22,0,50424.26,50543.83,44728.88,0.1153,0.5521,0.1025,0
